Anno,Codici Istat Comuni,Territorio,popolazione al 1 gennaio,nati vivi,morti,iscritti  in anagrafe da altri comuni,cancellati  in anagrafe  per altri comuni,iscritti  in anagrafe dall'estero,cancellati  in anagrafe per l'estero,unità in più/meno dovute a variazioni territoriali,Aggiustamento statistico ,popolazione al 31 dicembre
2022,45001,Aulla,10719,66,164,437,433,70,25,0,20,10690
2022,45002,Bagnone,1722,4,46,55,65,12,5,0,0,1677
2022,45003,Carrara,60185,314,841,1084,1048,358,99,0,33,59986
2022,45004,Casola in Lunigiana,969,7,25,28,27,5,10,0,0,947
2022,45005,Comano,662,5,28,40,19,10,0,0,-3,667
2022,45006,Filattiera,2210,11,38,85,73,2,7,0,0,2190
2022,45007,Fivizzano,7190,26,177,154,146,43,25,0,-5,7060
2022,45008,Fosdinovo,4597,18,71,209,176,28,22,0,3,4586
2022,45009,Licciana Nardi,4739,22,61,158,150,30,15,0,-1,4722
2022,45010,Massa,66498,345,891,1233,1192,452,198,0,41,66288
2022,45011,Montignoso,10122,55,144,323,304,49,38,0,-33,10030
2022,45012,Mulazzo,2288,11,53,87,64,30,6,0,-4,2289
2022,45013,Podenzana,2118,8,34,103,105,10,3,0,4,2101
2022,45014,Pontremoli,6931,45,158,196,153,45,14,0,5,6897
2022,45015,Tresana,1952,10,42,84,58,9,1,0,2,1956
2022,45016,Villafranca in Lunigiana,4611,23,80,123,144,39,16,0,1,4557
2022,45017,Zeri,970,2,31,26,28,2,0,0,-1,940
2022,46001,Altopascio,15726,117,180,608,473,121,29,0,-16,15874
2022,46002,Bagni di Lucca,5593,31,86,140,132,64,29,0,25,5606
2022,46003,Barga,9491,46,133,204,228,88,24,0,5,9449
2022,46004,Borgo a Mozzano,6667,36,89,174,146,76,23,0,-5,6690
2022,46005,Camaiore,31821,164,410,931,728,159,55,0,32,31914
2022,46006,Camporgiano,2041,5,33,41,49,6,3,0,-3,2005
2022,46007,Capannori,46390,268,595,1239,1128,267,105,0,20,46356
2022,46008,Careggine,509,2,9,15,7,2,1,0,-1,510
2022,46009,Castelnuovo di Garfagnana,5650,26,76,121,141,52,4,0,18,5646
2022,46010,Castiglione di Garfagnana,1707,8,25,41,32,7,3,0,5,1708
2022,46011,Coreglia Antelminelli,5096,21,62,137,147,70,17,0,-28,5070
2022,46013,Forte dei Marmi,6943,28,105,230,282,83,19,0,1,6879
2022,46014,Fosciandora,559,4,5,15,12,3,1,0,-4,559
2022,46015,Gallicano,3613,14,52,113,85,25,5,0,7,3630
2022,46017,Lucca,89078,497,1173,2108,1998,820,259,0,83,89156
2022,46018,Massarosa,21823,113,260,706,613,90,35,0,-2,21822
2022,46019,Minucciano,1826,9,45,30,19,4,1,0,1,1805
2022,46020,Molazzana,1010,6,14,23,31,3,5,0,2,994
2022,46021,Montecarlo,4366,31,50,174,144,28,5,0,3,4403
2022,46022,Pescaglia,3306,11,44,83,94,45,9,0,-1,3297
2022,46023,Piazza al Serchio,2144,9,38,26,42,10,5,0,2,2106
2022,46024,Pietrasanta,23066,107,313,642,619,98,32,0,-16,22933
2022,46025,Pieve Fosciana,2263,12,37,50,49,10,18,0,5,2236
2022,46026,Porcari,8789,62,90,296,285,55,10,0,-6,8811
2022,46027,San Romano in Garfagnana,1352,8,17,26,31,3,1,0,-1,1339
2022,46028,Seravezza,12441,67,204,405,351,66,17,0,-12,12395
2022,46030,Stazzema,2890,17,49,83,64,15,14,0,-1,2877
2022,46031,Vagli Sotto,839,4,16,7,16,18,0,0,-2,834
2022,46033,Viareggio,61045,311,831,1444,1294,405,124,0,-66,60890
2022,46034,Villa Basilica,1491,7,24,40,43,3,1,0,4,1477
2022,46035,Villa Collemandina,1215,1,17,16,20,13,3,0,-3,1202
2022,46036,Fabbriche di Vergemoli,715,1,12,22,28,25,4,0,2,721
2022,46037,Sillano Giuncugnano,999,5,21,17,13,3,0,0,0,990
2022,47002,Agliana,17950,124,181,548,546,115,44,0,-9,17957
2022,47003,Buggiano,8746,52,103,356,361,106,44,0,-6,8746
2022,47005,Lamporecchio,7398,43,105,233,217,54,10,0,-16,7380
2022,47006,Larciano,6312,34,77,190,165,40,13,0,-9,6312
2022,47007,Marliana,3149,19,49,214,116,26,4,0,2,3241
2022,47008,Massa e Cozzile,7698,37,92,350,274,59,11,0,-14,7753
2022,47009,Monsummano Terme,20821,120,259,604,587,103,28,0,15,20789
2022,47010,Montale,10608,69,112,311,311,29,18,0,-11,10565
2022,47011,Montecatini-Terme,20468,145,274,954,829,367,101,0,59,20789
2022,47012,Pescia,19223,114,258,572,540,204,56,0,18,19277
2022,47013,Pieve a Nievole,9120,49,118,413,376,56,24,0,2,9122
2022,47014,Pistoia,89493,525,1229,1908,1618,669,263,0,39,89524
2022,47016,Ponte Buggianese,8795,45,120,290,291,31,12,0,7,8745
2022,47017,Quarrata,26795,174,253,800,812,157,45,0,-23,26793
2022,47018,Sambuca Pistoiese,1446,6,29,64,52,14,6,0,3,1446
2022,47020,Serravalle Pistoiese,11742,71,123,429,407,78,13,0,-13,11764
2022,47021,Uzzano,5609,34,44,232,253,41,20,0,-7,5592
2022,47022,Chiesina Uzzanese,4468,26,52,188,160,36,8,0,4,4502
2022,47023,Abetone Cutigliano,1902,5,34,60,83,10,10,0,-14,1836
2022,47024,San Marcello Piteglio,7671,23,152,231,172,48,21,0,-2,7626
2022,48001,Bagno a Ripoli,25314,148,385,770,750,164,55,0,1,25207
2022,48002,Barberino di Mugello,10884,58,105,278,232,59,23,0,19,10938
2022,48004,Borgo San Lorenzo,18184,116,240,433,428,170,41,0,-25,18169
2022,48005,Calenzano,18041,112,194,602,555,132,44,0,5,18099
2022,48006,Campi Bisenzio,47541,278,471,1459,1458,358,84,0,53,47676
2022,48008,Capraia e Limite,7881,62,84,284,287,48,13,0,-16,7875
2022,48010,Castelfiorentino,17364,137,266,391,471,159,25,0,-8,17281
2022,48011,Cerreto Guidi,10794,59,140,343,378,84,26,0,-22,10714
2022,48012,Certaldo,15483,104,210,405,336,140,47,0,-5,15534
2022,48013,Dicomano,5443,38,71,219,171,53,12,0,-15,5484
2022,48014,Empoli,48397,309,642,1558,1336,552,95,0,179,48922
2022,48015,Fiesole,13727,88,195,514,517,135,52,0,-34,13666
2022,48017,Firenze,361619,2328,4910,8581,8220,4247,1072,0,169,362742
2022,48018,Firenzuola,4436,17,68,134,121,38,9,0,-25,4402
2022,48019,Fucecchio,22764,131,267,643,657,216,61,0,-13,22756
2022,48020,Gambassi Terme,4791,25,63,203,134,38,13,0,-9,4838
2022,48021,Greve in Chianti,13327,86,168,330,340,124,31,0,2,13330
2022,48022,Impruneta,14477,89,216,451,460,127,37,0,-20,14411
2022,48024,Lastra a Signa,19674,111,250,615,620,206,38,0,-60,19638
2022,48025,Londa,1824,7,24,84,65,14,3,0,-7,1830
2022,48026,Marradi,2891,21,40,73,46,21,9,0,-11,2900
2022,48027,Montaione,3499,21,47,110,109,31,8,0,-5,3492
2022,48028,Montelupo Fiorentino,14226,89,171,438,461,116,29,0,-6,14202
2022,48030,Montespertoli,13236,82,153,435,374,63,40,0,0,13249
2022,48031,Palazzuolo sul Senio,1111,8,26,32,23,14,2,0,-1,1113
2022,48032,Pelago,7760,48,116,306,253,72,8,0,-4,7805
2022,48033,Pontassieve,20304,129,293,651,694,135,40,0,16,20208
2022,48035,Reggello,16529,105,204,481,475,91,27,0,-1,16499
2022,48036,Rignano sull'Arno,8566,45,82,299,309,35,30,0,1,8525
2022,48037,Rufina,7118,46,80,234,238,43,14,0,1,7110
2022,48038,San Casciano in Val di Pesa,16643,100,215,397,451,110,48,0,-44,16492
2022,48039,San Godenzo,1060,2,21,36,34,9,1,0,0,1051
2022,48041,Scandicci,49659,329,700,1306,1338,372,103,0,-26,49499
2022,48043,Sesto Fiorentino,48782,336,636,1523,1348,357,77,0,-42,48895
2022,48044,Signa,18964,108,198,659,714,171,31,0,-40,18919
2022,48046,Vaglia,5208,29,70,186,195,32,27,0,10,5173
2022,48049,Vicchio,8022,48,92,241,245,89,19,0,-7,8037
2022,48050,Vinci,14574,82,171,488,522,83,39,0,-28,14467
2022,48052,Figline e Incisa Valdarno,23219,134,324,699,686,171,60,0,-34,23119
2022,48053,Scarperia e San Piero,12018,86,142,337,323,89,21,0,-27,12017
2022,48054,Barberino Tavarnelle,11906,77,152,276,247,60,20,0,10,11910
2022,49001,Bibbona,3172,31,41,112,106,25,10,0,-2,3181
2022,49002,Campiglia Marittima,12538,55,186,309,249,57,39,0,-24,12461
2022,49003,Campo nell'Elba,4706,23,53,138,115,37,15,0,0,4721
2022,49004,Capoliveri,3878,24,41,106,80,20,9,0,10,3908
2022,49005,Capraia Isola,378,1,3,14,18,1,0,0,-3,370
2022,49006,Castagneto Carducci,8785,44,153,226,211,82,29,0,7,8751
2022,49007,Cecina,27898,156,427,799,623,200,87,0,49,27965
2022,49008,Collesalvetti,16370,98,211,578,574,67,21,0,-6,16301
2022,49009,Livorno,154483,904,2327,2373,2155,1231,351,0,-299,153859
2022,49010,Marciana,2030,12,33,85,66,18,6,0,1,2041
2022,49011,Marciana Marina,1876,6,33,84,59,16,1,0,-12,1877
2022,49012,Piombino,32304,164,522,598,533,475,72,0,-77,32337
2022,49013,Porto Azzurro,3640,21,34,123,130,24,4,0,-5,3635
2022,49014,Portoferraio,11864,79,161,225,248,52,13,0,23,11821
2022,49017,Rosignano Marittimo,30072,131,449,874,665,204,94,0,52,30125
2022,49018,San Vincenzo,6498,38,87,161,189,47,16,0,18,6470
2022,49019,Sassetta,475,1,7,8,13,12,5,0,2,473
2022,49020,Suvereto,2980,23,52,99,101,22,14,0,4,2961
2022,49021,Rio,3315,10,42,136,93,19,4,0,7,3348
2022,50001,Bientina,8553,60,78,384,327,48,20,0,-4,8616
2022,50002,Buti,5575,21,81,187,165,29,2,0,-10,5554
2022,50003,Calci,6293,45,73,274,242,44,23,0,-10,6308
2022,50004,Calcinaia,12711,86,126,515,465,77,23,0,-25,12750
2022,50005,Capannoli,6430,41,64,178,212,35,7,0,-7,6394
2022,50006,Casale Marittimo,1076,5,12,39,53,4,5,0,-2,1052
2022,50008,Cascina,44865,295,517,1252,1204,262,80,0,-47,44826
2022,50009,Castelfranco di Sotto,13460,78,167,546,490,147,23,0,9,13560
2022,50010,Castellina Marittima,1835,14,29,81,76,8,5,0,1,1829
2022,50011,Castelnuovo di Val di Cecina,2094,11,41,42,60,26,7,0,11,2076
2022,50012,Chianni,1315,7,24,46,39,20,2,0,-12,1311
2022,50014,Fauglia,3674,15,67,186,190,41,19,0,-3,3637
2022,50015,Guardistallo,1161,6,21,76,79,14,2,0,4,1159
2022,50016,Lajatico,1282,5,26,24,26,11,6,0,0,1264
2022,50019,Montecatini Val di Cecina,1669,12,33,51,22,13,5,0,0,1685
2022,50020,Montescudaio,2167,12,25,119,134,7,0,0,1,2147
2022,50021,Monteverdi Marittimo,753,3,9,31,17,9,4,0,0,766
2022,50022,Montopoli in Val d'Arno,11109,79,116,391,313,69,14,0,-18,11187
2022,50023,Orciano Pisano,633,1,10,36,25,2,0,0,-2,635
2022,50024,Palaia,4535,29,72,141,115,25,12,0,1,4532
2022,50025,Peccioli,4666,18,65,136,113,36,11,0,9,4676
2022,50026,Pisa,89002,555,1140,3028,2933,1088,308,0,-233,89059
2022,50027,Pomarance,5390,22,95,72,102,36,19,0,10,5314
2022,50028,Ponsacco,15577,90,155,586,522,75,61,0,-15,15575
2022,50029,Pontedera,29284,210,407,1058,921,337,67,0,-36,29458
2022,50030,Riparbella,1572,11,17,79,73,26,6,0,-2,1590
2022,50031,San Giuliano Terme,30836,147,396,1024,968,169,70,0,-41,30701
2022,50032,San Miniato,27767,192,346,677,680,170,45,0,-3,27732
2022,50033,Santa Croce sull'Arno,14608,131,175,508,521,213,40,0,9,14733
2022,50034,Santa Luce,1637,7,28,62,56,12,3,0,-5,1626
2022,50035,Santa Maria a Monte,13307,94,150,480,442,93,27,0,21,13376
2022,50036,Terricciola,4460,33,50,147,152,20,13,0,1,4446
2022,50037,Vecchiano,11910,53,136,371,371,54,37,0,15,11859
2022,50038,Vicopisano,8553,39,101,363,306,68,33,0,-4,8579
2022,50039,Volterra,9696,49,181,182,216,67,34,0,-4,9559
2022,50040,Casciana Terme Lari,12160,75,182,408,391,85,40,0,15,12130
2022,50041,Crespina Lorenzana,5426,36,77,248,187,27,7,0,3,5469
2022,51001,Anghiari,5385,38,82,111,119,77,31,0,10,5389
2022,51002,Arezzo,96717,573,1303,1647,1548,729,304,0,24,96535
2022,51003,Badia Tedalda,971,7,18,20,23,16,2,0,0,971
2022,51004,Bibbiena,11806,75,129,309,234,104,38,0,-7,11886
2022,51005,Bucine,9910,66,130,299,247,67,23,0,10,9952
2022,51006,Capolona,5244,24,65,195,193,41,9,0,-13,5224
2022,51007,Caprese Michelangelo,1355,6,26,28,34,15,3,0,1,1342
2022,51008,Castel Focognano,2963,18,41,108,116,49,5,0,-10,2966
2022,51010,Castel San Niccolò,2517,11,50,58,61,27,5,0,-5,2492
2022,51011,Castiglion Fibocchi,2103,12,16,81,66,9,11,0,-15,2097
2022,51012,Castiglion Fiorentino,13052,84,173,199,233,73,46,0,-21,12935
2022,51013,Cavriglia,9462,64,102,268,282,29,19,0,2,9422
2022,51014,Chitignano,866,3,21,30,34,18,8,0,-3,851
2022,51015,Chiusi della Verna,1889,14,29,77,58,3,7,0,0,1889
2022,51016,Civitella in Val di Chiana,8814,51,121,281,239,51,14,0,-38,8785
2022,51017,Cortona,21324,111,301,339,351,127,43,0,-28,21178
2022,51018,Foiano della Chiana,9183,48,121,230,266,72,39,0,-34,9073
2022,51020,Loro Ciuffenna,5854,33,52,189,158,27,15,0,-6,5872
2022,51021,Lucignano,3396,25,58,121,107,14,9,0,12,3394
2022,51022,Marciano della Chiana,3458,29,31,87,111,13,3,0,-11,3431
2022,51023,Montemignaio,523,2,8,16,18,5,0,0,-2,518
2022,51024,Monterchi,1708,14,31,55,52,9,2,0,0,1701
2022,51025,Monte San Savino,8615,46,140,234,188,38,13,0,-19,8573
2022,51026,Montevarchi,24047,152,311,666,631,248,86,0,52,24137
2022,51027,Ortignano Raggiolo,852,4,10,22,31,0,2,0,1,836
2022,51030,Pieve Santo Stefano,2994,17,55,63,68,38,16,0,-4,2969
2022,51031,Poppi,5879,35,95,165,181,50,28,0,-8,5817
2022,51033,San Giovanni Valdarno,16644,99,239,486,506,136,54,0,22,16588
2022,51034,Sansepolcro,15227,79,220,314,342,128,50,0,33,15169
2022,51035,Sestino,1218,2,22,34,42,14,12,0,4,1196
2022,51037,Subbiano,6274,45,75,252,206,33,15,0,-9,6299
2022,51038,Talla,975,4,12,41,27,10,5,0,0,986
2022,51039,Terranuova Bracciolini,11983,75,151,357,343,93,50,0,-6,11958
2022,51040,Castelfranco Piandiscò,9832,63,106,340,313,47,24,0,-46,9793
2022,51041,Pratovecchio Stia,5439,35,76,139,126,60,27,0,-3,5441
2022,51042,Laterina Pergine Valdarno,6447,39,89,154,186,44,16,0,-6,6387
2022,52001,Abbadia San Salvatore,6023,34,97,124,123,59,12,0,-3,6005
2022,52002,Asciano,6812,46,94,225,226,71,20,0,-15,6799
2022,52003,Buonconvento,3004,16,47,99,84,18,22,0,5,2989
2022,52004,Casole d'Elsa,3716,29,48,146,114,16,40,0,12,3717
2022,52005,Castellina in Chianti,2677,14,43,68,91,30,14,0,3,2644
2022,52006,Castelnuovo Berardenga,8970,66,95,309,367,120,36,0,-31,8936
2022,52007,Castiglione d'Orcia,2148,6,41,61,55,25,5,0,1,2140
2022,52008,Cetona,2516,12,46,66,88,49,7,0,-3,2499
2022,52009,Chianciano Terme,6848,25,105,224,231,224,40,0,-8,6937
2022,52010,Chiusdino,1767,15,24,29,45,20,15,0,-3,1744
2022,52011,Chiusi,8051,54,126,231,243,181,30,0,-18,8100
2022,52012,Colle di Val d'Elsa,21677,136,247,560,529,134,68,0,-28,21635
2022,52013,Gaiole in Chianti,2584,15,40,46,76,15,15,0,0,2529
2022,52015,Montepulciano,13386,79,234,275,303,151,48,0,-26,13280
2022,52016,Monteriggioni,9993,73,109,483,498,94,44,0,8,10000
2022,52017,Monteroni d'Arbia,8984,84,130,322,256,87,26,0,3,9068
2022,52018,Monticiano,1534,5,25,43,54,80,5,0,-15,1563
2022,52019,Murlo,2408,15,18,106,131,65,12,0,-4,2429
2022,52020,Piancastagnaio,3968,19,61,71,88,30,28,0,-29,3882
2022,52021,Pienza,2007,14,32,32,49,18,4,0,-3,1983
2022,52022,Poggibonsi,28576,168,403,625,634,182,82,0,-69,28363
2022,52023,Radda in Chianti,1470,8,22,44,57,21,15,0,3,1452
2022,52024,Radicofani,1065,5,13,21,25,8,0,0,-5,1056
2022,52025,Radicondoli,925,4,10,41,31,46,2,0,-25,948
2022,52026,Rapolano Terme,5030,34,59,131,129,110,34,0,10,5093
2022,52027,San Casciano dei Bagni,1516,4,24,32,36,11,3,0,-5,1495
2022,52028,San Gimignano,7487,31,91,236,235,78,31,0,18,7493
2022,52030,San Quirico d'Orcia,2610,16,34,60,62,21,8,0,-22,2581
2022,52031,Sarteano,4476,25,80,97,72,48,12,0,3,4485
2022,52032,Siena,53062,306,782,1516,1356,480,149,0,-103,52974
2022,52033,Sinalunga,12128,83,175,299,290,99,52,0,18,12110
2022,52034,Sovicille,9906,67,91,320,374,94,21,0,-32,9869
2022,52035,Torrita di Siena,7014,32,99,177,151,33,19,0,-18,6969
2022,52036,Trequanda,1195,2,26,31,40,9,4,0,0,1167
2022,52037,Montalcino,5676,32,89,140,160,56,31,0,-1,5623
2022,53001,Arcidosso,4226,25,74,115,149,85,9,0,-18,4201
2022,53002,Campagnatico,2335,20,42,120,119,51,13,0,1,2353
2022,53003,Capalbio,3887,18,59,111,111,27,9,0,0,3864
2022,53004,Castel del Piano,4808,24,82,120,138,83,42,0,-20,4753
2022,53005,Castell'Azzara,1311,8,43,41,26,16,2,0,5,1310
2022,53006,Castiglione della Pescaia,7098,44,103,298,261,102,49,0,2,7131
2022,53007,Cinigiano,2390,16,41,79,79,41,20,0,-9,2377
2022,53008,Civitella Paganico,2989,19,47,68,122,46,7,0,-24,2922
2022,53009,Follonica,20607,85,306,475,499,137,61,0,19,20457
2022,53010,Gavorrano,8192,36,123,334,258,69,26,0,38,8262
2022,53011,Grosseto,81503,486,1014,1599,1422,594,182,0,44,81608
2022,53012,Isola del Giglio,1344,4,13,36,57,18,2,0,-8,1322
2022,53013,Magliano in Toscana,3316,12,47,84,91,26,7,0,1,3294
2022,53014,Manciano,7113,40,119,152,135,59,16,0,-32,7062
2022,53015,Massa Marittima,8124,59,135,254,201,83,21,0,4,8167
2022,53016,Monte Argentario,12040,56,156,173,213,52,48,0,-15,11889
2022,53017,Montieri,1173,8,17,49,32,24,10,0,-4,1191
2022,53018,Orbetello,14352,70,189,353,333,79,27,0,10,14315
2022,53019,Pitigliano,3608,15,73,99,66,6,5,0,1,3585
2022,53020,Roccalbegna,923,3,24,37,32,16,3,0,-2,918
2022,53021,Roccastrada,8761,40,139,242,215,136,37,0,0,8788
2022,53022,Santa Fiora,2485,13,50,104,84,41,5,0,0,2504
2022,53023,Scansano,4263,22,86,172,148,124,25,0,6,4328
2022,53024,Scarlino,3814,23,54,142,185,25,7,0,-9,3749
2022,53025,Seggiano,983,7,16,32,50,20,6,0,37,1007
2022,53026,Sorano,3097,14,54,58,87,19,4,0,-2,3041
2022,53027,Monterotondo Marittimo,1283,4,19,36,34,30,24,0,-6,1270
2022,53028,Semproniano,984,4,28,32,25,4,5,0,-1,965
2022,100001,Cantagallo,3092,10,46,153,107,15,14,0,6,3109
2022,100002,Carmignano,14753,75,155,542,621,84,31,0,-24,14623
2022,100003,Montemurlo,19100,131,193,622,620,170,55,0,22,19177
2022,100004,Poggio a Caiano,9956,61,116,338,339,105,17,0,-59,9929
2022,100005,Prato,195213,1109,2131,3697,3815,2639,493,0,98,196317
2022,100006,Vaiano,9943,69,134,322,328,90,33,0,3,9932
2022,100007,Vernio,6066,32,87,289,193,54,22,0,18,6157
